130&(33, 6)&(26, 19)&100
131&(33, 6)&(26, 20)&100
132&(33, 6)&(26, 21)&100
133&(33, 6)&(25, 21)&100
134&(33, 6)&(24, 21)&100
135&(33, 6)&(23, 21)&100
136&(33, 6)&(23, 22)&100
137&(33, 6)&(22, 22)&100
138&(33, 6)&(21, 22)&100
139&(33, 6)&(20, 22)&100
140&(33, 6)&(19, 22)&100
141&(33, 6)&(18, 22)&100
142&(33, 6)&(17, 22)&100
143&(33, 6)&(16, 22)&100
144&(33, 6)&(15, 22)&100
145&(33, 6)&(14, 22)&100
146&(33, 6)&(13, 22)&100
147&(33, 6)&(12, 22)&100
148&(33, 6)&(11, 22)&100
149&(33, 6)&(10, 22)&100
150&(33, 6)&(9, 22)&100
151&(33, 6)&(8, 22)&100
152&(33, 6)&(7, 22)&100
153&(33, 6)&(6, 22)&100
154&(33, 6)&(5, 22)&99
155&(33, 6)&(4, 22)&98
156&(33, 6)&(3, 22)&97
157&(33, 6)&(3, 21)&97
158&(33, 6)&(3, 20)&97
159&(33, 6)&(3, 19)&97
160&(33, 6)&(3, 18)&97
161&(33, 6)&(3, 17)&97
162&(33, 6)&(3, 16)&97
163&(33, 6)&(3, 15)&97
164&(33, 6)&(3, 14)&97
165&(33, 6)&(3, 13)&97
166&(33, 6)&(3, 12)&97
167&(33, 6)&(3, 11)&97
168&(33, 6)&(3, 10)&97
169&(33, 6)&(3, 9)&97
170&(33, 6)&(3, 8)&97
171&(33, 6)&(3, 8)&97
172&(33, 6)&(4, 8)&97
173&(33, 6)&(5, 8)&97
174&(33, 6)&(6, 8)&97
175&(33, 6)&(7, 8)&97
176&(33, 6)&(8, 8)&97
177&(33, 6)&(9, 8)&97
178&(33, 6)&(10, 8)&97
179&(33, 6)&(11, 8)&97
180&(33, 6)&(12, 8)&97
181&(33, 6)&(13, 8)&97
182&(33, 6)&(14, 8)&97
183&(33, 6)&(15, 8)&97
184&(33, 6)&(16, 8)&97
185&(33, 6)&(17, 8)&97
186&(33, 6)&(18, 8)&97
187&(33, 6)&(19, 8)&97
188&(33, 6)&(20, 8)&97
189&(33, 6)&(21, 8)&97
190&(33, 6)&(22, 8)&97
191&(33, 6)&(23, 8)&97
192&(33, 6)&(24, 8)&97
193&(33, 6)&(25, 8)&97
194&(33, 6)&(26, 8)&97
195&(33, 6)&(27, 8)&97
196&(33, 6)&(28, 8)&97
197&(33, 6)&(29, 8)&97
198&(33, 6)&(30, 8)&97
199&(33, 6)&(31, 8)&97
200&(33, 6)&(32, 8)&97
201&(33, 6)&(33, 8)&97
202&(33, 6)&(34, 8)&95
203&(33, 6)&(34, 7)&95
204&(33, 6)&(34, 6)&93
205&(33, 6)&(34, 5)&91
206&(33, 6)&(35, 5)&91
207&(33, 6)&(35, 6)&91
208&(33, 6)&(36, 6)&89
209&(33, 6)&(37, 6)&89
210&(33, 6)&(38, 6)&89
211&(33, 6)&(39, 6)&89
212&(33, 6)&(40, 6)&89
213&(33, 6)&(41, 6)&89
214&(33, 6)&(42, 6)&89
